General Information;;;General Information;;;;;;;Metal/Commodity 1;;;Metal/Commodity 2;;;Metal/Commodity 3;;;Metal/Commodity 4;;;Shareholder data;;;;;Sources;;;;;;;;;;;;;
ID;ID Name;Name_Mine;Status;Type  [OP/UG];Processing Method;Latitude;Longitude;Name_Mining Company;ROM [Mt/a];Metal/Commodity;Avg. grade; Production [t/a] ;Metal2;Avg. Grade2; Production [t/a]4 ;Metal_3;Avg. Grade3;Production [kg/a];Metal_4;Avg. Grade_Metal_4;Production [kg/a]2;Name_Main Shareholder_1;Name_Main Shareholder_2;Name_Main Shareholder_3;Name_Main Shareholder_4;Name_Main Shareholder_5;Source_URL_1;Source_URL_2;Source_URL_3;Source_URL_4;;;;;;;;;;
817;Mina Invierno;Mina Invierno;stopped due to environmental impacts;OP;N/A;52°52?35?S;71°38?28? W;Mina Invierno S.A.;6,0;Coal; N/A ; N/A ;-;-;-;-;-;-;-;-;-;Inversiones Ultraterra Limited(50%);Empresas Copec S.A. (50%);-;-;-;https://www.minainvierno.cl/en/about-us/;https://www.minainvierno.cl/en/operation-mina-invierno/;;;;;;;;;;;;
820;Minera Pecket;Minera Pecket;decomissioned (1977);OP;N/A;52°59?20?S;71°06?18? W;INGESUR;N/A;Coal; N/A ; N/A ;-;-;-;-;-;-;-;-;-;INGESUR;-;-;-;-;https://infofirma.sea.gob.cl/DocumentosSEA/MostrarDocumento?docId=06/3f/5b54c96293c3af84ec635586d048cc6344bd;https://www.alertaislariesco.cl/?page_id=1857;https://elpinguino.com/noticias/113368/Pecket-sigue-generando-inters-de-los-inversionistas;;;;;;;;;;;
821;Minera Pecket;Minera Pecket;decomissioned (1977);OP;N/A;52°59?20?S;71°06?18? W;INGESUR;N/A;Coal; N/A ; N/A ;-;-;-;-;-;-;-;-;-;INGESUR;-;-;-;-;https://infofirma.sea.gob.cl/DocumentosSEA/MostrarDocumento?docId=06/3f/5b54c96293c3af84ec635586d048cc6344bd;https://www.alertaislariesco.cl/?page_id=1857;https://elpinguino.com/noticias/113368/Pecket-sigue-generando-inters-de-los-inversionistas;;;;;;;;;;;
1418;Cerro Bayo;Cerro Bayo;operational;UG;Flotation;46°32?31?S;72°00?09? W;Compania Minera Cerro Bayo Ltda.;0,2;N/A;N/A;N/A;-;-;-;Au;N/A;N/A;Ag;N/A;22500 kg/a;Mandalay Resources Corp. (93,1%);Equus Mining (8,9%);-;-;-;https://miningdataonline.com/property/151/Cerro-Bayo-Mine.aspx;;;;;;;;;;;;;
1522;El Toqui;El Toqui;Care & Maintanance (bankruptcy since 2019);UG;Gravity separation, foltation;45°02?12?S;71°56?35? W;Laguna Gold Ltd.;0,5;Zn;6,03%; 28000 t/a ;Pb;0,23%;N/A;Au;0,78 ppm;N/A;Ag;15,3 ppm;N/A;N/A;-;-;-;-;https://miningdataonline.com/property/779/El-Toqui-Mine.aspx;;;;;;;;;;;;;
1523;El Toqui;El Toqui;Care & Maintanance (bankruptcy since 2019);UG;Gravity separation, foltation;45°02?12?S;71°56?35? W;Laguna Gold Ltd.;0,5;Zn;6,03%; 28000 t/a ;Pb;0,23%;N/A;Au;0,78 ppm;N/A;Ag;15,3 ppm;N/A;N/A;-;-;-;-;https://miningdataonline.com/property/779/El-Toqui-Mine.aspx;;;;;;;;;;;;;
1541;El Toqui;El Toqui;Care & Maintanance (bankruptcy since 2019);UG;Gravity separation, foltation;45°02?12?S;71°56?35? W;Laguna Gold Ltd.;0,5;Zn;6,03%; 28000 t/a ;Pb;0,23%;N/A;Au;0,78 ppm;N/A;Ag;15,3 ppm;N/A;N/A;-;-;-;-;https://miningdataonline.com/property/779/El-Toqui-Mine.aspx;;;;;;;;;;;;;
1544;El Toqui;El Toqui;Care & Maintanance (bankruptcy since 2019);UG;Gravity separation, foltation;45°02?12?S;71°56?35? W;Laguna Gold Ltd.;0,5;Zn;6,03%; 28000 t/a ;Pb;0,23%;N/A;Au;0,78 ppm;N/A;Ag;15,3 ppm;N/A;N/A;-;-;-;-;https://miningdataonline.com/property/779/El-Toqui-Mine.aspx;;;;;;;;;;;;;
1851;Chepica;Chepica;decomissioned (2016);UG;Flotation, gravity separation;35°22?31?S;71°51?15? W;Xtract Resources Plc; N/A ;Au;N/A;N/A;Cu; N/A ; N/A ;-;-;-;-;-;-;Xtract Resources PLC. (100%);-;-;-;-;https://xtractresources.com/wp-content/uploads/Strategic-Review-at-Chepica-Mine.pdf;https://sec.report/nsm/Xtract-Resources-P-L-C/data-migration/LSE20160831070010_012948323;;;;;;;;;;;;
1910;Tailings reprocessing plant of the El Teniente Division to obtain copper concentrate, belonging to Minera Valle Central;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag;-;-;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
1911;Tailings reprocessing plant of the El Teniente Division to obtain copper concentrate, belonging to Minera Valle Central;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag;-;-;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
1912;Tailings reprocessing plant of the El Teniente Division to obtain copper concentrate, belonging to Minera Valle Central;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag;-;-;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
1917;Mina Florida;Mina Florida;operational;UG;N/A;34°02?38?S;71°02?06? W;Minera Florida Ltda;0,3; N/A ; N/A ; N/A ;-;-;-;Au;N/A;2547 kg/a;-;-;-;Yamana Gold Inc. (100%);-;-;-;-;https://www.yamana.com/portfolio/producing-mines/minera-florida/default.aspx;https://s28.q4cdn.com/334653565/files/doc_financials/2020/Yamana-AR20_FINAL-for-web_210325.pdf;;;;;;;;;;;;
1918;Mina Florida;Mina Florida;operational;UG;N/A;34°02?38?S;71°02?06? W;Minera Florida Ltda;1,3; N/A ; N/A ; N/A ;-;-;-;Au;N/A;2548 kg/a;-;-;-;Yamana Gold Inc. (100%);-;-;-;-;https://www.yamana.com/portfolio/producing-mines/minera-florida/default.aspx;https://s28.q4cdn.com/334653565/files/doc_financials/2020/Yamana-AR20_FINAL-for-web_210325.pdf;;;;;;;;;;;;
1922;Tailings of El Teniente;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag;-;-;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
1923;Processing plant for obtaining copper concentrate, belonging to Codelco's El Teniente Division;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag; N/A ; N/A ;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
1925;Tailings reprocessing plant of the El Teniente Division to obtain copper concentrate, belonging to Minera Valle Central;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag;-;-;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
1927;Tailings reprocessing plant of the El Teniente Division to obtain copper concentrate, belonging to Minera Valle Central;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag;-;-;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
1928;El Teniente;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag;N/A;N/A;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
1959;El Teniente;El Teniente;operational;UG;Flotation;34°05?11?S;70°27?21? W;Codelco Corp. (operator);52,0;Cu;0,84%; 432220 t/a ;Mo;N/A;N/A;Au;N/A;N/A;Ag;N/A;N/A;Codelco Corp. (100%);-;-;-;-;https://miningdataonline.com/property/160/El-Teniente-Mine.aspx;;;;;;;;;;;;;
2007;Andina & Los Bronces together;Los Bronces;operational;OP;Flotation, heap leach, SX-EW;33° 8' 57'' S;70° 16' 51'' W;Anglo American Sur S.A. (Operator);50,0;Cu;0,53%; 324700 t/a ;Mo;140 ppm;N/A;-;-;-;-;-;-;Anglo American plc. (50,1%);Mitsui & Co, Ltd. (29,5%);Mitsubishi Materials Corp. (20,4%);-;-;https://miningdataonline.com/property/320/Los-Bronces-Mine.aspx;https://www.miningnewsfeed.com/reports/annual/AngloAmerican_AR_2018.pdf;https://minedocs.com/21/Los_Bronces-CP-2018.pdf;;;;;;;;;;;
2008;Los Bronces ;Los Bronces;operational;OP;Heap leach, SX-EW;33° 8' 57'' S;70° 16' 51'' W;Anglo American Sur S.A. (Operator);50,0;Cu;0,53%; 324700 t/a ;Mo;140 ppm;N/A;-;-;-;-;-;-;Anglo American plc. (50,1%);Mitsui & Co, Ltd. (29,5%);Mitsubishi Materials Corp. (20,4%);-;-;https://miningdataonline.com/property/320/Los-Bronces-Mine.aspx;https://www.miningnewsfeed.com/reports/annual/AngloAmerican_AR_2018.pdf;https://minedocs.com/21/Los_Bronces-CP-2018.pdf;;;;;;;;;;;
2012;Andina;Andina;operational;OP & UG;Flotation ;33.09°S;70.25°W;Codelco Corp. (operator);30,0;Cu;0,77%; 195531 t/a ;Mo; N/A ;3489 t/a;-;-;-;Ag; N/A ;143780 kg/a;Codelco Corp. (100%);-;-;-;-;https://www.codelco.com/memoria2018/site/docs/20190408/20190408190123/codelco_annual_report_2018.pdf;;;;;;;;;;;;;
