site_id,NearestDist
1851,1.5469370859
1418,1.489221086
2130,1.1256911066
3230,0.9877499511
2297,0.7081200994
2354,0.6675230775
2365,0.6675230775
2058,0.5935328636
2496,0.4301730686
817,0.4238269287
2088,0.396953311
3784,0.3615918546
2118,0.2867014441
2705,0.2329821232
2153,0.2079583421
2019,0.2048337314
2257,0.0687291609
2662,0.0564429678
1927,0.045125836
2214,0.0443377423
1917,0.0423920855
1918,0.0423920855
2684,0.0387386908
2479,0.0384279664
2480,0.0384279664
820,0.0348426435
821,0.0348426435
2200,0.0347865366
2997,0.0342652098
2203,0.0338035631
2291,0.0336181037
2175,0.0331296481
2197,0.032902288
2036,0.031252381
2040,0.031252381
2510,0.0267291164
2513,0.0267291164
2255,0.0265650145
2652,0.025640459
2672,0.0249872972
1922,0.0244620452
1923,0.0244620452
2620,0.0242663345
2622,0.0242663345
2254,0.0216900743
2263,0.0216900743
3204,0.0196899285
2651,0.0193670737
2217,0.0155609185
2219,0.0155609185
2525,0.0154057617
2355,0.0150840971
2356,0.0150840971
2683,0.0148426496
2186,0.011241201
2187,0.011241201
2218,0.0108340826
2221,0.0108340826
2012,0.0098184236
3215,0.0096088817
3217,0.0096088817
1544,0.0094935945
2657,0.0092409964
2208,0.0091319637
2196,0.008950799
2659,0.0080816491
2113,0.0080000491
2658,0.0078204695
2193,0.0074693868
2198,0.0074693868
2249,0.0072529926
2109,0.0070352323
2112,0.0070352323
2653,0.0067661119
2798,0.0067661119
2164,0.0065806179
2165,0.0065806179
2080,0.006479682
2082,0.006479682
2524,0.0061539028
2800,0.0061539028
2928,0.0060689913
2929,0.0060689913
1912,0.0049977851
2087,0.0041395934
2685,0.0040934608
2089,0.0040003942
2091,0.0040003942
2946,0.0038040184
2951,0.0038040184
2076,0.003513894
2086,0.003513894
2199,0.0033164007
2238,0.0033164007
1925,0.00302712
2132,0.0028719825
2359,0.0028719825
1910,0.0026721128
2503,0.0025277472
2504,0.0025277472
3188,0.0022140062
2292,0.0021205444
2293,0.0021205444
2179,0.0013467153
2184,0.0013467153
2173,0.0011267114
2185,0.0011267114
1928,0.001111026
1959,0.001111026
2481,0.0010207952
2505,0.0010207952
2194,0.0006244558
2195,0.0006244558
1523,0.0004583198
1541,0.0004583198
2660,0.000449735
2677,0.000449735
1911,0.
2007,0.
2008,0.
2018,0.
2020,0.
2021,0.
2077,0.
2078,0.
2108,0.
2111,0.
2168,0.
2169,0.
2201,0.
2202,0.
2209,0.
2227,0.
2229,0.
2250,0.
2251,0.
2911,0.
3218,0.
3219,0.
